"work_order","service_code","service_address","latitude","longitude","images","an_action_date","an_status","an_action_by","an_action_notes","rs_activity","rs_type","rs_resource","rs_qty","rs_units","rs_performed_on","an_activity","an_performed_on","an_notes"
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"01/05/21  3:52:03 PM","Re-Assigned","Wendt, Troy","Re-Assigned to Ricardo
ValladolidSalas.","","","","","","","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"01/25/21  2:23:30 PM","Re-Assigned","ValladolidSalas, Ricardo","Re-Assigned to Troy Wendt.","","","","","","","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"01/25/21  4:47:20 PM","Re-Assigned","Wendt, Troy","Re-Assigned to Ricardo
ValladolidSalas.","","","","","","","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"01/28/21  2:09:13 PM","Re-Assigned","ValladolidSalas, Ricardo","Edited from WO Screen","","","","","","","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"01/29/21  3:16:05 PM","Closed","ValladolidSalas, Ricardo","Automtically Closed by
System.","","","","","","","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"01/29/21  3:16:08 PM","Complete","ValladolidSalas, Ricardo","We clean-up an abandoned
campsite, and checked and
collected needles, debris and
biologic hazardous material as
well. We have five minutes of
safety talking, before to do it.
No items to storage.","","","","","","","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","Employee 
Hours","ValladolidSalas, Ricardo","1.50","Hours","10/30/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","","Habib, Logan","1.50","Hours","10/30/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","","(301056) 2001 FORD 
RANGER","1.50","Hours","10/30/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","","(303047) 2014 FORD F250 
XL","1.50","Hours","10/30/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","","(837192) 2020 BIG TEX 
70SR","1.50","Hours","10/30/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","Illegal Camp-Dump 
ROW Inspection","Employee 
Hours","ValladolidSalas, Ricardo","1.00","Hours","10/29/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","Equipment 
Hours","(301056) 2001 FORD 
RANGER","1.00","Hours","10/29/2020","","",""
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","","","","","","Illegal Camp-Dump ROW 
Cleanup","10/30/2020","We clean-up an abandoned 
campsite, and checked and 
collected needles, debris and 
biologic hazardous material as 
well. We have five minutes of 
safety talking, before to do it. No 
items to storage."
356212,"SFS30","ADAMS ST - W 2ND ALY",44.0570950253111,-123.107106953122,0,"","","","","","","","","","","Illegal Camp-Dump ROW 
Inspection","10/29/2020","inspected and checked for debris, 
needles, and biologic hazardous 
material.  Scheduling for clean-up."
344170,"PFI10","5TH ALLEY AND JEFFERSON",44.0537472293144,-123.101945925424,2,"09/30/20 11:35:16 AM","Assigned","Waksmundski, Joe","Work Order Created","","","","","","","","",""
344170,"PFI10","5TH ALLEY AND JEFFERSON",44.0537472293144,-123.101945925424,2,"10/05/20  2:05:22 PM","Closed","Account, Service","Automtically Closed by
System.","","","","","","","","",""
344170,"PFI10","5TH ALLEY AND JEFFERSON",44.0537472293144,-123.101945925424,2,"10/05/20  2:05:23 PM","Complete","Account, Service","WJ: 10/5/20 no cleanup
required Work Order
completed by Raymond
Gulley.","","","","","","","","",""
344170,"PFI10","5TH ALLEY AND JEFFERSON",44.0537472293144,-123.101945925424,2,"","","","","Post Camp - 24 
Hour Notice","Employee 
Hours","Gulley, Raymond","0.00","Hours","10/05/2020","","",""
326087,"PFI10","WESTMORELAND NORTH OF CREEK #1",44.0424207323625,-123.115626750201,2,"06/06/20  8:53:42 AM","Assigned","Russell, Joe","Work Order Created","","","","","","","","",""
326087,"PFI10","WESTMORELAND NORTH OF CREEK #1",44.0424207323625,-123.115626750201,2,"06/13/20 11:28:07 AM","Closed","Account, Service","Automtically Closed by
System.","","","","","","","","",""
326087,"PFI10","WESTMORELAND NORTH OF CREEK #1",44.0424207323625,-123.115626750201,2,"06/13/20 11:28:08 AM","Complete","Account, Service","Camper is vacated and the
site has been cleaned up Work
Order completed by Joe
Russell.","","","","","","","","",""
326087,"PFI10","WESTMORELAND NORTH OF CREEK #1",44.0424207323625,-123.115626750201,2,"","","","","Post Camp - 24 
Hour Notice","Employee 
Hours","Russell, Joe","0.00","Hours","06/06/2020","","",""
352060,"PFI10","LONE OAK #5",44.0985827296222,-123.122290385189,2,"11/16/20  2:31:24 PM","Assigned","Waksmundski, Joe","Work Order Created","","","","","","","","",""
352060,"PFI10","LONE OAK #5",44.0985827296222,-123.122290385189,2,"11/19/20  8:26:04 AM","Closed","Waksmundski, Joe","Automtically Closed by
System.","","","","","","","","",""
352060,"PFI10","LONE OAK #5",44.0985827296222,-123.122290385189,2,"11/19/20  8:26:05 AM","Complete","Waksmundski, Joe","Camp vacated and cleaned:
11.18.20.","","","","","","","","",""
352060,"PFI10","LONE OAK #5",44.0985827296222,-123.122290385189,2,"","","","","Post Camp - 24 
Hour Notice","Employee 
Hours","Waksmundski, Joe","0.25","Hours","11/16/2020","","",""
